review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20251203-392536,CUST-10145,REST-AUH-002,Solid experience. Paneer Butter Masala were well-prepared. Paneer Butter Masala had great flavor. Minor issues with packaging.,4,2025-12-05T11:22:31.234927
REV-000002,ORD-20251210-503970,CUST-10495,REST-DXB-002,Outstanding experience! The Palak Paneer  Paneer Butter Masala  and Chicken Seekh Kebab exceeded all expectations. Paneer Butter Masala was the star of the meal. Will definitely order again!,5,2025-12-12T11:22:32.234927
REV-000004,ORD-20251211-373554,CUST-10494,REST-DXB-002,Very satisfied! Rasmalai (2 pcs)  Tandoori Roti  Lamb Rogan Josh  and Fresh Lime Soda were fresh and flavorful. Rasmalai (2 pcs) was the standout dish.,4,2025-12-12T13:40:53.234927
REV-000005,ORD-20251212-339880,CUST-10391,REST-AUH-001,Enjoyed the Masala Chai  Vegetable Biryani  Butter Naan  and Aloo Tikki Chaat! Masala Chai was very good. Portion sizes were generous. Recommend!,4,2025-12-13T20:09:39.234927
REV-000003,ORD-20251210-872965,CUST-10413,REST-SHJ-001,Wow! Just wow! Malai Kofta and Kulfi were all fantastic. Kulfi was particularly memorable. Can't wait to order again!,5,2025-12-14T11:54:59.234927
REV-000006,ORD-20251214-776594,CUST-10303,REST-AUH-002,Exceptional quality! Ordered Malai Kofta and Palak Paneer and everything was delicious. The Malai Kofta melted in my mouth. Perfect!,5,2025-12-19T15:25:18.234927
REV-000007,ORD-20251215-609989,CUST-10028,REST-DXB-001,Good quality food. Kulfi and Butter Naan were nicely done. Butter Naan could have been slightly spicier but still good!,4,2025-12-20T10:26:43.234927
REV-000008,ORD-20251221-790056,CUST-10273,REST-AUH-001,Best Indian food in UAE! Kulfi and Chole Bhature were incredible. Kulfi had the perfect balance of spices. Five stars!,5,2025-12-23T13:25:59.234927
REV-000009,ORD-20251222-870562,CUST-10223,REST-DXB-002,Outstanding experience! The Chicken 65 and Paneer Butter Masala exceeded all expectations. Paneer Butter Masala was the star of the meal. Will definitely order again!,5,2025-12-23T17:55:59.234927
REV-000010,ORD-20251223-413966,CUST-10440,REST-AUH-001,Hands down the best Lamb Rogan Josh I've ever had! Lamb Rogan Josh and Mango Lassi were all prepared beautifully. Fresh and flavorful!,5,2025-12-26T14:07:03.234927
REV-000012,ORD-20251227-484600,CUST-10471,REST-AUH-001,Outstanding experience! The Fish Curry exceeded all expectations. Fish Curry was the star of the meal. Will definitely order again!,5,2025-12-28T10:14:17.234927
REV-000011,ORD-20251225-779885,CUST-10285,REST-DXB-001,Worst food ever! Paneer Tikka and Samosa (2 pcs) were all wrong. Samosa (2 pcs) made me sick. Never ordering again!,1,2025-12-30T20:27:58.234927
REV-000013,ORD-20251230-147904,CUST-10381,REST-DXB-001,Very satisfied! Chicken 65 and Chole Bhature were fresh and flavorful. Chole Bhature was the standout dish.,4,2025-12-31T13:34:50.234927
REV-000014,ORD-20260104-797209,CUST-10068,REST-AUH-001,Perfect in every way! Garlic Naan were all excellent. Garlic Naan stood out with its rich  authentic taste.,5,2026-01-08T14:35:20.234927
REV-000016,ORD-20260105-839152,CUST-10026,REST-AUH-001,Absolutely amazing Chicken 65 and Sweet Lassi! The Chicken 65 was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-08T17:51:18.234927
REV-000018,ORD-20260106-623926,CUST-10299,REST-AUH-001,Below expectations. Tandoori Roti  Garlic Naan  and Palak Paneer were underwhelming. Tandoori Roti was overcooked and dry.,2,2026-01-09T16:52:15.234927
REV-000015,ORD-20260105-749118,CUST-10457,REST-DXB-001,Not good. Jeera Rice  Samosa (2 pcs)  Fresh Lime Soda  and Dal Makhani arrived late and cold. Fresh Lime Soda had barely any flavor. Poor quality.,2,2026-01-11T15:11:27.234927
REV-000017,ORD-20260105-273078,CUST-10251,REST-SHJ-001,Pleasant meal! Malai Kofta  Lamb Rogan Josh  Aloo Tikki Chaat  Paneer Butter Masala  and Fish Curry arrived warm. Malai Kofta was tasty though not exceptional. Would order again.,4,2026-01-12T21:07:48.234927
REV-000019,ORD-20260111-272099,CUST-10213,REST-DXB-002,Wow! Just wow! Gajar Halwa  Vegetable Biryani  Chicken Biryani  and Samosa (2 pcs) were all fantastic. Samosa (2 pcs) was particularly memorable. Can't wait to order again!,5,2026-01-13T21:42:47.234927
REV-000020,ORD-20260118-654579,CUST-10231,REST-SHJ-001,Perfect in every way! Vegetable Biryani  Butter Chicken  Naan  and Kulfi were all excellent. Butter Chicken stood out with its rich  authentic taste.,5,2026-01-19T18:02:22.234927
REV-000021,ORD-20260120-746327,CUST-10396,REST-SHJ-001,Not good. Aloo Tikki Chaat and Chicken Tikka Masala arrived late and cold. Aloo Tikki Chaat had barely any flavor. Poor quality.,2,2026-01-22T18:21:50.234927
REV-000022,ORD-20260125-452749,CUST-10473,REST-DXB-001,Decent food but nothing special. Chicken Seekh Kebab  Fish Curry  Kulfi  Chicken Biryani  and Tandoori Roti were okay. Chicken Seekh Kebab lacked the punch I expected.,3,2026-01-28T22:44:49.234927
REV-000023,ORD-20260128-498657,CUST-10135,REST-SHJ-001,Poor experience. Paneer Butter Masala and Malai Kofta were disappointing. Paneer Butter Masala was burnt on the edges. Very unhappy.,2,2026-02-02T10:47:34.234927
REV-000024,ORD-20260129-926275,CUST-10027,REST-SHJ-001,Best Indian food in UAE! Vegetable Biryani  Palak Paneer  and Lamb Rogan Josh were incredible. Palak Paneer had the perfect balance of spices. Five stars!,5,2026-02-05T19:00:08.234927
REV-000025,ORD-20260131-841695,CUST-10080,REST-SHJ-001,Decent food but nothing special. Naan  Chicken Seekh Kebab  and Fish Curry were okay. Fish Curry lacked the punch I expected.,3,2026-02-07T14:54:37.234927
REV-000026,ORD-20260208-365411,CUST-10435,REST-SHJ-001,Wow! Just wow! Fresh Lime Soda  Butter Naan  Palak Paneer  and Aloo Tikki Chaat were all fantastic. Aloo Tikki Chaat was particularly memorable. Can't wait to order again!,5,2026-02-12T14:15:39.234927
REV-000028,ORD-20260211-241656,CUST-10014,REST-AUH-001,Enjoyed the Paneer Tikka  Sweet Lassi  and Rasmalai (2 pcs)! Paneer Tikka was very good. Portion sizes were generous. Recommend!,4,2026-02-13T15:24:18.234927
REV-000029,ORD-20260211-115942,CUST-10276,REST-AUH-001,Best Indian food in UAE! Samosa (2 pcs)  Fresh Lime Soda  Naan  Fish Curry  and Vegetable Biryani were incredible. Fresh Lime Soda had the perfect balance of spices. Five stars!,5,2026-02-13T17:27:41.234927
REV-000027,ORD-20260211-969144,CUST-10418,REST-DXB-002,Absolutely amazing Chicken Seekh Kebab and Naan! The Chicken Seekh Kebab was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-02-18T13:35:06.234927
REV-000030,ORD-20260217-998820,CUST-10196,REST-AUH-001,Outstanding experience! The Lamb Rogan Josh  Aloo Tikki Chaat  Kulfi  Masala Chai  and Paneer Tikka exceeded all expectations. Aloo Tikki Chaat was the star of the meal. Will definitely order again!,5,2026-02-24T19:53:15.234927
REV-000031,ORD-20260223-320968,CUST-10097,REST-DXB-002,Hands down the best Paneer Butter Masala I've ever had! Fresh Lime Soda  Garlic Naan  Paneer Butter Masala  and Rasmalai (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2026-02-25T20:44:08.234927
REV-000034,ORD-20260225-420112,CUST-10171,REST-SHJ-001,Best Indian food in UAE! Chicken Biryani  Vegetable Biryani  and Chicken Tikka Masala were incredible. Chicken Biryani had the perfect balance of spices. Five stars!,5,2026-03-03T20:15:53.234927
REV-000032,ORD-20260224-925805,CUST-10111,REST-DXB-002,Perfect in every way! Jeera Rice and Chicken Tikka Masala were all excellent. Chicken Tikka Masala stood out with its rich  authentic taste.,5,2026-03-03T22:56:00.234927
REV-000033,ORD-20260225-432309,CUST-10085,REST-SHJ-001,It was okay. Dal Makhani and Malai Kofta arrived lukewarm. Dal Makhani tasted fine but could be better.,3,2026-03-04T18:48:07.234927
REV-000035,ORD-20260301-498069,CUST-10022,REST-DXB-002,Very satisfied! Chicken Biryani  Mango Lassi  Lamb Rogan Josh  and Palak Paneer were fresh and flavorful. Mango Lassi was the standout dish.,4,2026-03-08T11:13:48.234927
REV-000037,ORD-20260306-521636,CUST-10472,REST-DXB-001,Very satisfied! Aloo Tikki Chaat  Butter Naan  Naan  Butter Chicken  and Chicken Biryani were fresh and flavorful. Chicken Biryani was the standout dish.,4,2026-03-09T20:25:07.234927
REV-000036,ORD-20260304-588969,CUST-10141,REST-AUH-001,Best Indian food in UAE! Paneer Tikka  Vegetable Biryani  Masala Chai  Naan  and Butter Chicken were incredible. Naan had the perfect balance of spices. Five stars!,5,2026-03-10T18:17:31.234927
REV-000038,ORD-20260309-752613,CUST-10139,REST-AUH-001,Enjoyed the Aloo Tikki Chaat! Aloo Tikki Chaat was very good. Portion sizes were generous. Recommend!,4,2026-03-14T14:46:12.234927
REV-000039,ORD-20260311-562810,CUST-10356,REST-DXB-001,Wow! Just wow! Chicken 65  Paneer Tikka  Chicken Tikka Masala  Vegetable Biryani  and Chole Bhature were all fantastic. Paneer Tikka was particularly memorable. Can't wait to order again!,5,2026-03-14T21:46:02.234927
REV-000041,ORD-20260314-459593,CUST-10197,REST-AUH-002,Not good. Gajar Halwa arrived late and cold. Gajar Halwa had barely any flavor. Poor quality.,2,2026-03-18T10:49:01.234927
REV-000040,ORD-20260313-671279,CUST-10167,REST-DXB-001,Hands down the best Fish Curry I've ever had! Fish Curry  Chicken Tikka Masala  Sweet Lassi  and Butter Naan were all prepared beautifully. Fresh and flavorful!,5,2026-03-19T21:42:35.234927
REV-000042,ORD-20260319-841147,CUST-10127,REST-AUH-002,Solid experience. Sweet Lassi  Gajar Halwa  Butter Chicken  and Jeera Rice were well-prepared. Gajar Halwa had great flavor. Minor issues with packaging.,4,2026-03-23T12:58:07.234927
REV-000043,ORD-20260323-205970,CUST-10241,REST-DXB-002,Really good Mango Lassi and Butter Naan! The Butter Naan was delicious. Slight delay in delivery but food quality made up for it.,4,2026-03-30T14:15:07.234927
REV-000045,ORD-20260330-109375,CUST-10290,REST-AUH-001,Expected better. Garlic Naan and Mango Lassi were subpar. Garlic Naan was too oily and greasy. Stomach upset followed.,2,2026-04-01T19:31:03.234927
REV-000044,ORD-20260327-602911,CUST-10300,REST-SHJ-001,Best Indian food in UAE! Jeera Rice  Dal Makhani  and Gajar Halwa were incredible. Gajar Halwa had the perfect balance of spices. Five stars!,5,2026-04-02T12:26:08.234927
REV-000046,ORD-20260331-725521,CUST-10467,REST-DXB-001,Outstanding experience! The Gajar Halwa  Paneer Tikka  Malai Kofta  and Naan exceeded all expectations. Naan was the star of the meal. Will definitely order again!,5,2026-04-04T10:55:48.234927
REV-000047,ORD-20260401-630660,CUST-10108,REST-AUH-002,Incredible meal! Chicken Tikka Masala  Palak Paneer  and Lamb Rogan Josh arrived hot and fresh. The Chicken Tikka Masala was absolutely divine. Highly satisfied!,5,2026-04-07T16:46:23.234927
REV-000048,ORD-20260405-405785,CUST-10242,REST-DXB-001,Outstanding experience! The Chicken 65  Sweet Lassi  Tandoori Roti  and Vegetable Biryani exceeded all expectations. Chicken 65 was the star of the meal. Will definitely order again!,5,2026-04-11T11:00:46.234927
REV-000049,ORD-20260409-823136,CUST-10379,REST-DXB-001,Pleasant meal! Aloo Tikki Chaat and Palak Paneer arrived warm. Aloo Tikki Chaat was tasty though not exceptional. Would order again.,4,2026-04-16T14:59:48.234927
REV-000051,ORD-20260418-988880,CUST-10447,REST-AUH-002,Really good Lamb Rogan Josh  Palak Paneer  Sweet Lassi  and Naan! The Sweet Lassi was delicious. Slight delay in delivery but food quality made up for it.,4,2026-04-22T13:21:21.234927
REV-000050,ORD-20260416-227998,CUST-10005,REST-AUH-001,Enjoyed the Dal Makhani and Naan! Dal Makhani was very good. Portion sizes were generous. Recommend!,4,2026-04-22T17:17:59.234927
REV-000052,ORD-20260420-517565,CUST-10417,REST-AUH-001,Hands down the best Sweet Lassi I've ever had! Naan  Butter Naan  Chicken Seekh Kebab  and Sweet Lassi were all prepared beautifully. Fresh and flavorful!,5,2026-04-24T10:54:10.234927
REV-000055,ORD-20260423-480091,CUST-10235,REST-DXB-002,Not bad  not great. Chicken 65 and Paneer Tikka were edible. Chicken 65 needed more seasoning.,3,2026-04-24T11:30:53.234927
REV-000053,ORD-20260422-960956,CUST-10034,REST-AUH-002,Mediocre. Chicken Tikka Masala  Gulab Jamun (2 pcs)  Mango Lassi  Butter Chicken  and Masala Chai were fine but forgettable. Gulab Jamun (2 pcs) didn't stand out.,3,2026-04-26T17:17:35.234927
REV-000056,ORD-20260423-103331,CUST-10247,REST-AUH-002,Very satisfied! Mango Lassi and Chicken 65 were fresh and flavorful. Chicken 65 was the standout dish.,4,2026-04-27T17:30:34.234927
REV-000054,ORD-20260422-170736,CUST-10346,REST-DXB-002,Average experience. Butter Naan and Fresh Lime Soda were fine but Fresh Lime Soda was a bit bland. Room for improvement.,3,2026-04-27T21:26:20.234927
REV-000059,ORD-20260426-946180,CUST-10363,REST-DXB-002,Solid experience. Gulab Jamun (2 pcs) were well-prepared. Gulab Jamun (2 pcs) had great flavor. Minor issues with packaging.,4,2026-04-28T10:34:06.234927
REV-000060,ORD-20260427-551518,CUST-10277,REST-AUH-002,Wow! Just wow! Fresh Lime Soda  Fish Curry  Vegetable Biryani  Masala Chai  and Chicken 65 were all fantastic. Vegetable Biryani was particularly memorable. Can't wait to order again!,5,2026-04-29T10:42:47.234927
REV-000057,ORD-20260424-312742,CUST-10359,REST-DXB-001,Really good Masala Chai! The Masala Chai was delicious. Slight delay in delivery but food quality made up for it.,4,2026-04-29T21:50:54.234927
REV-000058,ORD-20260425-118303,CUST-10190,REST-AUH-002,Poor experience. Chicken Seekh Kebab  Butter Naan  and Fresh Lime Soda were disappointing. Chicken Seekh Kebab was burnt on the edges. Very unhappy.,2,2026-05-02T17:11:14.234927
REV-000062,ORD-20260502-549279,CUST-10019,REST-SHJ-001,Hands down the best Paneer Tikka I've ever had! Paneer Tikka were all prepared beautifully. Fresh and flavorful!,5,2026-05-04T12:57:22.234927
REV-000061,ORD-20260427-302686,CUST-10450,REST-AUH-001,Exceptional quality! Ordered Kulfi and Gulab Jamun (2 pcs) and everything was delicious. The Kulfi melted in my mouth. Perfect!,5,2026-05-04T14:12:46.234927
REV-000063,ORD-20260503-318475,CUST-10041,REST-AUH-001,Perfect in every way! Sweet Lassi  Chicken 65  Kulfi  Masala Chai  and Lamb Rogan Josh were all excellent. Kulfi stood out with its rich  authentic taste.,5,2026-05-04T19:27:33.234927
REV-000065,ORD-20260510-300763,CUST-10244,REST-SHJ-001,Outstanding experience! The Paneer Butter Masala exceeded all expectations. Paneer Butter Masala was the star of the meal. Will definitely order again!,5,2026-05-11T21:23:19.234927
REV-000064,ORD-20260508-625028,CUST-10394,REST-AUH-002,Wow! Just wow! Tandoori Roti and Fish Curry were all fantastic. Tandoori Roti was particularly memorable. Can't wait to order again!,5,2026-05-11T22:20:58.234927
REV-000066,ORD-20260513-496023,CUST-10369,REST-DXB-001,Terrible experience! Rasmalai (2 pcs)  Aloo Tikki Chaat  Lamb Rogan Josh  and Dal Makhani were all inedible. Rasmalai (2 pcs) was completely burnt. Waste of money!,1,2026-05-18T10:05:22.234927
REV-000067,ORD-20260519-261809,CUST-10424,REST-AUH-001,Hands down the best Vegetable Biryani I've ever had! Vegetable Biryani were all prepared beautifully. Fresh and flavorful!,5,2026-05-24T18:08:28.234927
REV-000068,ORD-20260524-452161,CUST-10423,REST-AUH-002,Terrible experience! Dal Makhani  Kulfi  Rasmalai (2 pcs)  and Tandoori Roti were all inedible. Rasmalai (2 pcs) was completely burnt. Waste of money!,1,2026-05-27T21:58:33.234927
